item,itemLabel,startDate,endDate,sourceDate,psid
Q4776523,Antonio H. Cerilles,1998-06-30,2001-01-20,2022-07-25,Q4776523-B28C781E-3247-4B01-8321-069A093FB6B9
Q4776523,Antonio H. Cerilles,2001-01-20,2001-01-25,2022-07-25,Q4776523-3540DD04-6087-45F6-947B-B06FB6402080
Q110961429,Joemari D. Gerochi,2001-01-25,2001-03-28,,Q110961429-1C2B77EF-769F-4B96-A799-EEF7C3CAF56E
Q5618246,Heherson T. Alvarez,2001-03-29,2002-12-13,2022-07-25,Q5618246-117D4EDF-8CC8-4BAA-8014-CD78E8D026F6
Q109817277,Elisea G. Gozun,2002-12-13,2004-08-31,2022-07-25,Q109817277-DFD5052F-9CD5-4B31-89F9-D7D43615A0B2
Q6846534,Michael T. Defensor,2004-08-31,2006-02-15,2022-07-25,Q6846534-CFCBAFA3-6AC5-4A10-B253-CC7DE3E848D4
Q530701,Angelo Reyes,2006-02-15,2007-07-31,,Q530701-1FAEDAF3-D8CF-40D6-886B-99842148000F
Q2648928,"Jose L. Atienza, Jr.",2007-07-18,2009-12-28,2022-07-25,Q2648928-6C732CF9-D4FD-4CED-8DB1-ECE04BC920B4
Q110961431,Eleazar P. Quinto,2010-01-04,2010-02-12,,Q110961431-83480349-5A6F-43F8-A420-6B10CB1335AF
Q110961433,Horacio C. Ramos,2010-02-12,2010-06-30,,Q110961433-8297E89E-6B43-45E0-A29A-B9A8916B3EA1
Q768345,Ramon Jesus P. Paje,2010-06-30,2016-06-30,2022-07-25,Q768345-244A26E4-B86F-4851-A02C-2AA240888424
Q24852114,Regina Paz L. López,2016-06-30,2017-05-03,2022-07-25,Q24852114-B8F385CF-FA18-41A8-9554-01916F77D302
Q29913372,Roy Cimatu,2017-05-08,2022-02-18,,Q29913372-70A0831D-DFBD-4AED-A0D2-1B3D013A360C
Q110961423,Jim O. Sampulna,2022-02-18,2022-06-22,2022-07-25,Q110961423-C07F619F-9742-44B9-B5AE-081E3D559420
Q113270878,Joselin Marcus E. Fragada (OIC),2022-06-22,2022-06-30,2022-07-25,Q113270878-B37B35F9-F28D-469B-9CDF-38A6775E9BC5
Q113270882,Ernesto D. Adobo Jr. (OIC),2022-06-30,2022-07-12,2022-07-25,Q113270882-5EF64132-BC2E-4D6E-A03D-71C48267B09C
Q113270903,Maria Antonia Yulo-Loyzaga,2022-07-12,,2022-07-25,Q113270903-D055025D-CCEE-4018-A8A5-9E4F2C2EE5E0
