wanted,position,positionid,from,start,end
Q108550713,Chairman of the Joint Chiefs,Q88779285,Q47252008,2021-02-04,2021-07-31
Q52274914,Chairman of the Joint Chiefs,Q88779285,Q47359684,2017-10-26,2018-04-18
Q4492601,President of the Senate,Q3410551,Q471871,2013-07-22,2016-06-25
Q7133572,Secretary of the Interior and Local Government,Q7444421,Q716649,2010-07-09,2012-08-18
Q223419,Secretary of the Interior and Local Government,Q7444421,Q1464,2010-06-30,2010-07-09
Q6153693,Secretary of Health,Q7444312,Q5379779,2010-06-30,2014-12-19
Q2208719,Governor of Ilocos Norte,Q61337171,Q2330049,2007-06-30,2010-06-30
Q3348186,Member of the House of Representatives of the Philippines,Q18002923,Q6188132,2007-06-30,2010-06-30
Q113083519,Secretary of Social Welfare and Development,Q7444323,Q5398896,2005-07-21,2009-08-31
Q530701,Secretary of Energy,Q7444301,Q113044235,2005-03-22,2007-07-18
Q5041567,Member of the House of Representatives of the Philippines,Q18002923,Q12964580,2004,2007
Q6279353,Member of the House of Representatives of the Philippines,Q18002923,Q2606208,2001-06-30,2004-06-30
Q6701032,Governor of Camarines Sur,Q17071624,Q6701198,2001-06-30,2004-06-30
Q5338079,Secretary of Education,Q7444298,Q2184714,2001-02-10,2002-08-31
Q2132234,Secretary of Social Welfare and Development,Q7444323,Q123665,1998-06-30,2000-10-12
Q2348352,Governor of Ilocos Sur,Q61337180,Q2399446,1998-06-30,2001-06-30
Q2718322,Member of the House of Representatives of the Philippines,Q18002923,Q983307,1998-06-30,2007-06-30
Q4795900,Member of the House of Representatives of the Philippines,Q18002923,Q24239770,1998-06-30,2001-06-30
Q3348186,Governor of Cavite,Q17071640,Q919045,1998-02-06,2001-06-30
