province,provinceLabel,governor,name,position,positionLabel,start,end,sourceDate,psid
Q13711,Abra,Q113270327,Dominic Valera,Q17071554,Governor of Abra,2022-06-30,,,Q113270327-1F720A42-69ED-4249-8F29-66EA3A7A1A29
Q13714,Agusan del Norte,Q17370922,Angelica Amante,Q28806172,Governor of Agusan del Norte,2022-06-30,,2022-07-25,Q17370922-1090FF6C-CBFA-44E1-9EE4-1C2FE095490C
Q13721,Agusan del Sur,Q66436585,Santiago Cane Jr.,Q28806176,Governor of Agusan del Sur,2019-06-30,,,Q66436585-A9447177-DAF7-4694-9AF8-C07E67D9A612
Q13723,Aklan,Q113270344,Jose Enrique Miraflores,Q17071573,Governor of Aklan,2022-06-30,,,Q113270344-823A4B08-F69B-4F07-B1BC-F44D04797870
Q13726,Albay,Q16195778,Noel Rosal,Q19604754,Governor of Albay,2022-06-30,,,Q16195778-5D095C3A-1D60-4A10-A214-69D4BA3348B2
Q13727,Antique,Q66023198,Rhodora Cadiao,Q28806207,Governor of Antique,2015-01-29,,,Q66023198-1D9F947E-9660-4B22-9688-197B28424F22
Q13728,Apayao,Q5360461,Elias Bulut Jr.,Q55074448,governor of Apayao,2022-06-30,,2022-07-25,Q5360461-848C4684-E7F1-436C-9EA4-A38F362A783D
Q13730,Aurora,Q113270369,Christian M. Noveras,Q28806211,Governor of Aurora,2022-06-30,,,Q113270369-41DEEEF0-7E73-49A4-9B2B-CB761FB480C4
Q13737,Basilan,Q5637924,Hadjiman Salliman,Q67275745,Governor of Basilan,2016-06-30,,2022-07-25,Q5637924-6F3D9AD8-CFB1-4EA8-B252-EBD4D835493F
Q13739,Bataan,Q150054,Joet Garcia,Q25039509,Governor of Bataan,2022-06-30,,,Q150054-0B2330FD-0CC1-473D-B6FC-BEC5FC0A2F46
Q13740,Batanes,Q65936010,Marilou Cayco,Q61337226,Governor of Batanes,2016-06-30,,,Q65936010-9825EF4F-79A8-4F32-AFB1-15A550877101
Q13744,Batangas,Q5741535,Hermilando I. Mandanas,Q17071702,Governor of Batangas,2016-06-30,,2022-07-25,Q5741535-2966D705-2D2D-43B2-8D07-EAC78E807178
Q13750,Benguet,Q66305316,Melchor Diclas,Q61336958,Governor of Benguet,2019-06-30,,,Q66305316-DB4DAB82-4C99-4C67-A370-8D80E4E4C279
Q13751,Biliran,Q113270383,Gerard Roger Espina,Q67275748,Governor of Biliran,2022-06-30,,,Q113270383-569E9FF9-E3C3-4C70-BC60-19E5C565FE17
Q13752,Bohol,Q16150268,Erico Aristotle Aumentado,Q67275752,Governor of Bohol,2022-06-30,,,Q16150268-8E30E2CF-D77F-4728-B482-5F69350E7DCD
Q13753,Bukidnon,Q66777092,Rogelio Neil Roque,Q67275756,Governor of Bukidnon,2022-06-30,,,Q66777092-53B5C432-0F83-4CDF-A05E-5B862B4F630D
Q13755,Bulacan,Q5217127,Daniel Fernando(Cesar Fernando Ramirez),Q17071605,Governor of Bulacan,2019-06-30,,2022-07-25,Q5217127-AA8331F1-B892-4250-9F65-D953CE616FF3
Q13759,Cagayan,Q6752707,Manuel N. Mamba,Q61337236,Governor of Cagayan,2016-06-30,,2022-07-25,Q6752707-3F462CBC-C21B-4C13-814E-0787BB335FD4
Q13763,Camarines Norte,Q113270404,Ricarte Padilla,Q67275761,Governor of Camarines Norte,2022-06-30,,,Q113270404-BD10156D-00B7-47BF-B5CC-1D3D87520D96
Q13767,Camarines Sur,Q113004785,Vincenzo Luigi Villafuerte,Q17071624,Governor of Camarines Sur,2022-06-30,,2022-07-25,Q113004785-3E91489F-75BC-4123-A8AB-7D7FFACC0B9D
Q13769,Camiguin,Q66777091,Xavier Jesus Romualdo,Q67275764,Governor of Camiguin,2022-06-30,,,Q66777091-338D3192-C5F0-44FD-91C4-9B9FC9F7BABA
